Pg1_MW,Start_V1,Start_V2,Start_V3,Best_V1,Best_V2,Best_V3,Final_Loss,Epochs,Compute_Time,IpoptOk
250.0,0.9500,0.9500,0.9500,0,0,0,inf,0,0.01,0
250.5050505050505,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
251.010101010101,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
251.5151515151515,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
252.02020202020202,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
252.5252525252525,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
253.03030303030303,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
253.53535353535352,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
254.04040404040404,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
254.54545454545453,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
255.05050505050505,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
255.55555555555554,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
256.06060606060606,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
256.5656565656566,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
257.07070707070704,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
257.57575757575756,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
258.0808080808081,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
258.5858585858586,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
259.09090909090907,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
259.5959595959596,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
260.1010101010101,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
260.6060606060606,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
261.1111111111111,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
261.6161616161616,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
262.1212121212121,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
262.62626262626264,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
263.1313131313131,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
263.6363636363636,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
264.14141414141415,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
264.64646464646466,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
265.1515151515151,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
265.65656565656565,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
266.16161616161617,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
266.6666666666667,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
267.17171717171715,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
267.67676767676767,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
268.1818181818182,0.9500,0.9500,0.9500,0,0,0,inf,0,0.00,0
