id,p1_mw,p2_mw,p3_mw,q1_mvar,q2_mvar,q3_mvar,v1_pu,v2_pu,v3_pu,v4_pu,v5_pu,v6_pu,v7_pu,v8_pu,v9_pu,theta1_deg,theta2_deg,theta3_deg,theta4_deg,theta5_deg,theta6_deg,theta7_deg,theta8_deg,theta9_deg,total_load,thermal_limit_factor,calculation_time,timestamp
1,171.96131080031478,10.0,10.0,-3.47660366212386,-3.3472960735347743,-3.364031244609383,0.9222838361730542,0.94007044573991,0.9481756970103763,0.9306724263025365,0.9321602457462388,0.9502748631423938,0.9397661187948537,0.942319328734489,0.9215497158262735,8.836248568448612e-28,-14.12590341151898,-13.633224372801472,-6.626482044207921,-11.376638725176754,-14.005860750151156,-15.918983209190788,-14.530151294410647,-12.072369894935374,189.0,1.0,0.0766451358795166,2025-10-30T22:45:52.578519
2,171.05591798988448,10.0,10.869565217391305,-3.527646549655039,-3.4055315924373484,-3.422024270794706,0.921547919799065,0.9392228721156588,0.9474172397185221,0.9299195169285965,0.9314196237228038,0.9495576435485757,0.9389778561701134,0.941512578328905,0.9207533193860126,-1.0943912761320387e-27,-14.055207633946262,-13.491586280273916,-6.602089690840385,-11.325597619911983,-13.897256785102252,-15.835393949485738,-14.460167029077791,-12.036593933003683,189.0,1.0,0.05904412269592285,2025-10-30T22:45:52.644467
3,170.1509588046727,10.0,11.73913043478261,-3.5778253351990594,-3.46277407469314,-3.479047598832051,0.9208156103147597,0.9383794778941137,0.9466615953391946,0.9291697626552468,0.9306816179568755,0.9488430129041527,0.9381927021512849,0.9407094092023637,0.9199602116596856,-4.2727492357317455e-27,-13.984211417935816,-13.349426754037815,-6.5775798984006615,-11.27432440990737,-13.788231483137938,-15.751447178005655,-14.389880854650693,-12.000630652111548,189.0,1.0,0.056596994400024414,2025-10-30T22:45:52.707060
4,169.24643454610242,10.0,12.608695652173914,-3.6271544273407184,-3.519036344998504,-3.5351108935640037,0.9200870880695446,0.9375404396360031,0.9459089330720746,0.9284233497636429,0.929946414701144,0.9481311464836567,0.9374108397524175,0.9399100038564471,0.9191705858648024,-7.27138918307532e-27,-13.912909728834451,-13.206741462257085,-6.552950298203427,-11.222815077462464,-13.678780137429078,-15.667137258130849,-14.319287561177022,-11.964475520264385,189.0,1.0,0.053128957748413086,2025-10-30T22:45:52.767187
5,168.34234450412166,10.0,13.478260869565217,-3.675664112511062,-3.5743575612098435,-3.590264558261759,0.9193627864765808,0.9367061407753835,0.9451596094264042,0.9276807218889612,0.9292144522819089,0.9474224316485118,0.9366326759535216,0.9391147687012108,0.9183848934277957,-7.007405983092295e-29,-13.841289490781955,-13.063518414328579,-6.528194856296084,-11.171059317226412,-13.568890116480429,-15.582449709138812,-14.248373708875793,-11.928117286400123,189.0,1.0,0.05309772491455078,2025-10-30T22:45:52.826245
6,167.43868855673384,10.0,14.347826086956522,-3.7233719178230062,-3.628770214549537,-3.6445529694555923,0.9186430745799469,0.9358768992864683,0.9444139145071452,0.9269422520704856,0.9284860954837779,0.9467171858044153,0.9358585463958583,0.9383240404440745,0.9176035119772332,1.0730990878436778e-28,-13.769340009677581,-12.919748111634066,-6.503308598040968,-11.119048677257345,-13.458551248180743,-15.497372720755385,-14.17712829495392,-11.891546625164594,189.0,1.0,0.054782867431640625,2025-10-30T22:45:52.887029
7,166.5348843258031,10.0,15.217391304347826,-3.836686862334594,-3.6726182459362606,-3.7028804069353023,0.9180563990422853,0.9352842030576405,0.9438833080730472,0.9263749488192895,0.9279523945935977,0.9462293677263067,0.9353135016760119,0.9377622255790986,0.9170222510776378,2.390461303366515e-28,-13.692668725132416,-12.771409892503032,-6.476186092541046,-11.063153044666233,-13.343484858631466,-15.40670212160133,-14.10095989834147,-11.850744667543363,189.0,1.0,0.05499696731567383,2025-10-30T22:45:52.947027
8,165.63399643218378,10.0,16.08695652173913,-3.8270743772500557,-3.7223296086442073,-3.7121178087857962,0.917074989281009,0.9341462953923144,0.9428811099114258,0.9253452160550342,0.926922284780128,0.9452410659601683,0.9342330479310742,0.9366606534639055,0.9159277737351168,-3.1680614335469707e-28,-13.62884021458669,-12.634970453572697,-6.455131642718388,-11.017692843325806,-13.241012447707776,-15.330817683793548,-14.038109515883711,-11.821346855660146,189.0,1.0,0.05266165733337402,2025-10-30T22:45:53.004688
9,164.73083290828956,10.0,16.956521739130434,-3.856812268026029,-3.7795767376447276,-3.793118867002803,0.9164490231723302,0.9333677068773105,0.9421495942824382,0.9246876903852944,0.9262592227047446,0.9445677271669366,0.9335034909673469,0.9359225349013678,0.9152206998879846,-6.763041851468365e-28,-13.553516273049379,-12.487049290056174,-6.428775621712754,-10.963048500077983,-13.126803386306129,-15.24200511868359,-13.963450027267829,-11.782231184979889,189.0,1.0,0.05400872230529785,2025-10-30T22:45:53.064679
10,163.82826432117417,10.0,17.82608695652174,-3.90803107568197,-3.8398534273426645,-3.8567623989820636,0.9158362902471076,0.9326329167219217,0.9414879651135193,0.9240567297293856,0.9256351271639943,0.9439536992354722,0.9328263975899593,0.9352301903015444,0.9145481913846951,-2.3383949918263944e-27,-13.477447810220786,-12.338458571436849,-6.402085999776116,-10.907827089281502,-13.011932479200905,-15.152286486192208,-13.88800822665444,-11.74245554016701,189.0,1.0,0.056513071060180664,2025-10-30T22:45:53.126207
11,162.92649515184337,10.0,18.695652173913043,-3.954683528641487,-3.894028065083144,-3.9132149785339054,0.91518285889366,0.9318654202869605,0.9407936942644542,0.9233833102483966,0.9249683507097535,0.9433030422288535,0.9321117055178092,0.9345012116462685,0.9138330121767402,4.876564636253681e-28,-13.402509652324095,-12.190710355832085,-6.375928771140848,-10.853488679391296,-12.898046992966709,-15.063784654018383,-13.813728662391492,-11.703683950218165,189.0,1.0,0.05667710304260254,2025-10-30T22:45:53.188885
